	IDNCASE	ALIEN_CITY	ALIEN_STATE	NAT	LANG	CUSTODY	SITE_TYPE	E_28_DATE	ATTY_NBR	CASE_TYPE	UPDATE_SITE	LATEST_HEARING	LATEST_TIME	LATEST_CAL_TYPE	UP_BOND_DATE	UP_BOND_RSN	CORRECTIONAL_FAC	RELEASE_MONTH	RELEASE_YEAR	INMATE_HOUSING	DATE_OF_ENTRY	C_ASY_TYPE	C_BIRTHDATE	C_RELEASE_DATE	UPDATED_CITY	UPDATED_STATE	ADDRESS_CHANGEDON	ZBOND_MRG_FLAG	GENDER	DATE_DETAINED	DATE_RELEASED	LPR	DETENTION_DATE	DETENTION_LOCATION	DCO_LOCATION	DETENTION_FACILITY_TYPE	CASEPRIORITY_CODE	IDNPROCEEDING	OSC_DATE	INPUT_DATE	BASE_CITY_CODE	HEARING_LOC_CODE	IJ_CODE	TRANS_IN_DATE	PREV_HEARING_LOC	PREV_HEARING_BASE	PREV_IJ_CODE	TRANS_NBR	HEARING_DATE	HEARING_TIME	DEC_TYPE	DEC_CODE	DEPORTED_1	DEPORTED_2	OTHER_COMP	APPEAL_RSVD	APPEAL_NOT_FILED	COMP_DATE	ABSENTIA	VENUE_CHG_GRANTED	TRANSFER_TO	DATE_APPEAL_DUE_STATUS	TRANSFER_STATUS	CUSTODY_right	CASE_TYPE_right	NAT_right	LANG_right	SCHEDULED_HEAR_LOC	CORRECTIONAL_FAC_right	CRIM_IND	IHP	AGGRAVATE_FELON	DATE_DETAINED_right	DATE_RELEASED_right
0	8904477	See Remarks	FA	GT	SP	N	I			RMV	SND										2019-04-22 00:00:00.000		8/2016						M									8676263	2019-04-27 00:00:00.000	2019-05-22 00:00:00.000	SND	CIX	JLR						2019-05-30 00:00:00.000	1230.0	O	T				I		2019-05-30 00:00:00.000	N			2019-07-01 00:00:00.000		N	RMV	GT	SP			N		0.0		
1	8904478	See Remarks	FA	GT	SP	N	I			RMV	SND										2019-04-22 00:00:00.000		9/2013						F									8676264	2019-04-27 00:00:00.000	2019-05-22 00:00:00.000	SND	CIX	JLR						2019-05-30 00:00:00.000	1230.0	O	T				I		2019-05-30 00:00:00.000	N			2019-07-01 00:00:00.000		N	RMV	GT	SP			N		0.0		
2	8904479	See Remarks	FA	EC	SP	N	I			RMV	SND										2019-04-22 00:00:00.000		12/1992						F									8676265	2019-04-26 00:00:00.000	2019-05-15 00:00:00.000	SND	CIX	SS2						2019-05-15 00:00:00.000	1230.0					F			2019-05-15 00:00:00.000	N			2019-06-14 00:00:00.000		N	RMV	EC	SP			N		0.0		
3	8904480	See Remarks	FA	EC	SP	N	I			RMV	SND										2019-04-22 00:00:00.000		7/2017						M									8676266	2019-04-26 00:00:00.000	2019-05-15 00:00:00.000	SND	CIX	SS2						2019-05-15 00:00:00.000	1230.0					F			2019-05-15 00:00:00.000	N			2019-06-14 00:00:00.000		N	RMV	EC	SP			N		0.0		
4	8971056			GT	SP	N	I			RMV	ELP	2019-07-10 00:00:00.000	1300.0	M							2019-06-07 00:00:00.000		10/1984						M									8764547	2019-06-07 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
5	8971057			GT	SP	N	I			RMV	ELP	2019-07-10 00:00:00.000	1300.0	M							2019-06-07 00:00:00.000		7/2003						F									8764548	2019-06-07 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
6	8971060	See Remarks	FA	ES	SP	N	I			RMV	SND	2019-10-16 00:00:00.000	1230.0	M							2019-06-04 00:00:00.000		12/1985						F									8764551	2019-06-08 00:00:00.000		SND	SYP	PSL						2019-10-16 00:00:00.000	1230.0														N	RMV	ES	SP			N		0.0		
7	8971061	See Remarks	FA	GT	SP	N	I			RMV	SND	2019-10-28 00:00:00.000	1230.0	M							2019-06-08 00:00:00.000		10/1971						M									8764552	2019-06-08 00:00:00.000		SND	CIX	JLR						2019-10-28 00:00:00.000	1230.0														N	RMV	GT	SP			N		0.0		
8	8971062	See Remarks	FA	GT	SP	N	I			RMV	SND	2019-10-28 00:00:00.000	1230.0	M							2019-06-06 00:00:00.000		8/2005						M									8764553	2019-06-08 00:00:00.000		SND	CIX	JLR						2019-10-28 00:00:00.000	1230.0														N	RMV	GT	SP			N		0.0		
9	8971063	See Remarks	FA	HO	SP	N	I			RMV	SND	2019-10-01 00:00:00.000	1230.0	M							2019-06-06 00:00:00.000		2/1973						M									8764554	2019-06-08 00:00:00.000		SND	SYP	CAB						2019-10-01 00:00:00.000	1230.0														N	RMV	HO	SP			N		0.0		
