	IDNPROCEEDING	IDNCASE	OSC_DATE	INPUT_DATE	BASE_CITY_CODE	HEARING_LOC_CODE	IJ_CODE	TRANS_IN_DATE	PREV_HEARING_LOC	PREV_HEARING_BASE	PREV_IJ_CODE	TRANS_NBR	HEARING_DATE	HEARING_TIME	DEC_TYPE	DEC_CODE	DEPORTED_1	DEPORTED_2	OTHER_COMP	APPEAL_RSVD	APPEAL_NOT_FILED	COMP_DATE	ABSENTIA	VENUE_CHG_GRANTED	TRANSFER_TO	DATE_APPEAL_DUE_STATUS	TRANSFER_STATUS	CUSTODY	CASE_TYPE	NAT	LANG	SCHEDULED_HEAR_LOC	CORRECTIONAL_FAC	CRIM_IND	IHP	AGGRAVATE_FELON	DATE_DETAINED	DATE_RELEASED
0	8782558	8985107	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-03 00:00:00.000	830.0														N	RMV	EC	SP			N		0.0		
1	8782689	8985213	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-03 00:00:00.000	830.0														N	RMV	CU	SP			N		0.0		
2	8782116	8984690	2019-06-17 00:00:00.000		ELP	ENP	GRG						2019-12-03 00:00:00.000	830.0														N	RMV	EC	SP			N		0.0		
3	8783329	8985667	2019-06-18 00:00:00.000		ELP	ENP	SBM						2019-08-01 00:00:00.000	830.0														N	RMV	EC	SP			N		0.0		
4	8783339	8985675	2019-06-18 00:00:00.000		ELP	ENP	SBM						2019-08-01 00:00:00.000	830.0														N	RMV	EC	SP			N		0.0		
5	8783352	8985689	2019-06-18 00:00:00.000		ELP	ENP	SBM						2019-08-01 00:00:00.000	830.0														N	RMV	EC	SP			N		0.0		
6	8783365	8985699	2019-06-18 00:00:00.000		ELP	ENP	SBM						2019-08-01 00:00:00.000	830.0														N	RMV	EC	SP			N		0.0		
7	8783374	8985707	2019-06-16 00:00:00.000		ELP	ENP	NHB						2020-01-15 00:00:00.000	1300.0														N	RMV	CU	SP			N		0.0		
8	8783378	8985710	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300.0														N	RMV	HO	SP			N		0.0		
9	8783380	8985712	2019-06-18 00:00:00.000		ELP	ENP	SBM						2019-08-01 00:00:00.000	830.0														N	RMV	EC	SP			N		0.0		
10	8764563	8971072	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	HO	SP			N		0.0		
11	8764565	8971074	2019-06-08 00:00:00.000		ELP	ENP	GRG						2019-11-05 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
12	8764566	8971075	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13	8764569	8971078	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	ES	SP			N		0.0		
14	8764571	8971080	2019-06-08 00:00:00.000		ELP	ENP	GRG						2019-11-05 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
15	8764572	8971081	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
16	8764574	8971083	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	HO	SP			N		0.0		
17	8764576	8971085	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
18	8764578	8971087	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	ES	SP			N		0.0		
19	8764581	8971090	2019-06-08 00:00:00.000		ELP	ENP	GRG						2019-11-05 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
20	8764582	8971091	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	HO	SP			N		0.0		
21	8764586	8971095	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	ES	SP			N		0.0		
22	8764587	8971096	2019-06-08 00:00:00.000		ELP	ENP	GRG						2019-11-05 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
23	8764597	8971104	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	HO	SP			N		0.0		
24	8764598	8971105	2019-06-08 00:00:00.000		ELP	ENP	GRG						2019-11-05 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
25	8764600	8971107	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
26	8764601	8971108	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
27	8764602	8971109	2019-06-08 00:00:00.000		ELP	ENP	GRG						2019-11-05 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
28	8764603	8971110	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
29	8764605	8971112	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	ES	SP			N		0.0		
30	8764606	8971113	2019-06-08 00:00:00.000		ELP	ENP	GRG						2019-11-05 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
31	8764607	8971114	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
32	8764608	8971115	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
